date,open,close,high,low,volume
2020-01-02,4.56,4.58,4.59,4.53,30335.76
2020-01-03,4.57,4.59,4.61,4.56,23762.79
2020-01-06,4.56,4.61,4.62,4.54,26618.05
2020-01-07,4.62,4.67,4.67,4.6,28448.57
2020-01-08,4.63,4.57,4.66,4.54,28071.71
2020-01-09,4.59,4.66,4.66,4.59,28279.72
2020-01-10,4.67,4.7,4.71,4.63,45226.37
2020-01-13,4.69,4.75,4.77,4.66,52726.62
2020-01-14,4.75,4.68,4.76,4.67,35362.69
2020-01-15,4.69,4.68,4.69,4.62,25656.69
2020-01-16,4.67,4.63,4.68,4.61,17931.0
2020-01-17,4.64,4.67,4.67,4.59,31094.82
2020-01-20,4.65,4.62,4.65,4.58,47704.82
2020-01-21,4.61,4.57,4.61,4.54,20638.8
2020-01-22,4.58,4.54,4.58,4.48,21561.37
2020-01-23,4.57,4.56,4.57,4.45,43881.16
2020-02-03,4.1,4.1,4.16,4.1,31564.0
2020-02-04,4.04,4.07,4.1,4.01,38351.34
2020-02-05,4.07,4.23,4.26,4.07,38343.51
2020-02-06,4.18,4.26,4.29,4.18,22984.98
2020-02-07,4.23,4.27,4.32,4.19,24827.4
2020-02-10,4.23,4.35,4.37,4.21,33523.2
2020-02-11,4.35,4.34,4.39,4.27,24294.26
2020-02-12,4.34,4.33,4.34,4.25,25446.01
2020-02-13,4.31,4.25,4.31,4.24,18725.66
2020-02-14,4.25,4.27,4.27,4.23,15433.0
2020-02-17,4.24,4.37,4.37,4.24,24806.25
2020-02-18,4.36,4.38,4.41,4.33,28485.56
2020-02-19,4.36,4.36,4.39,4.35,25189.56
2020-02-20,4.39,4.5,4.51,4.36,40990.48
2020-02-21,4.51,4.54,4.56,4.47,38321.64
2020-02-24,4.63,4.53,4.63,4.51,30679.1
2020-02-25,4.51,4.49,4.51,4.37,26572.44
2020-02-26,4.42,4.5,4.57,4.41,34350.56
2020-02-27,4.5,4.51,4.55,4.49,20656.02
2020-02-28,4.42,4.36,4.47,4.33,37524.81
2020-03-02,4.39,4.53,4.6,4.35,41934.73
2020-03-03,4.62,4.51,4.62,4.48,39495.97
2020-03-04,4.51,4.52,4.53,4.46,34669.08
2020-03-05,4.51,4.53,4.56,4.49,56830.64
2020-03-06,4.5,4.52,4.55,4.48,35459.72
2020-03-09,4.48,4.39,4.48,4.38,38773.0
2020-03-10,4.27,4.46,4.47,4.27,40193.63
2020-03-11,4.45,4.41,4.5,4.38,31711.0
2020-03-12,4.38,4.33,4.38,4.29,28659.0
2020-03-13,4.22,4.33,4.35,4.11,37683.05
2020-03-16,4.35,4.32,4.4,4.26,27462.44
2020-03-17,4.27,4.3,4.35,4.24,24955.08
2020-03-18,4.34,4.28,4.37,4.28,35888.53
2020-03-19,4.29,4.58,4.71,4.29,215833.13
2020-03-20,4.5,4.51,4.58,4.38,152486.24
2020-03-23,4.43,4.21,4.44,4.18,94152.0
2020-03-24,4.26,4.19,4.32,4.11,61742.73
2020-03-25,4.24,4.3,4.35,4.19,86692.22
2020-03-26,4.26,4.26,4.35,4.22,56950.06
2020-03-27,4.43,4.69,4.69,4.35,146346.88
2020-03-30,4.67,4.75,4.9,4.5,298830.93
2020-03-31,4.67,4.87,5.08,4.59,277191.88
2020-04-01,4.77,4.67,4.87,4.66,207860.81
2020-04-02,4.66,4.65,4.69,4.51,150269.7
2020-04-03,4.65,4.72,4.77,4.56,155279.39
2020-04-07,4.75,4.87,4.99,4.64,234655.81
2020-04-08,4.81,4.76,4.83,4.69,159384.57
2020-04-09,4.85,4.92,5.04,4.83,239578.44
2020-04-10,4.85,4.71,4.91,4.67,144680.0
2020-04-13,4.68,4.71,4.77,4.63,84789.76
2020-04-14,4.72,4.73,4.75,4.65,76276.94
2020-04-15,4.72,4.59,4.72,4.59,97498.89
2020-04-16,4.56,4.43,4.59,4.42,122501.64
2020-04-17,4.44,4.42,4.46,4.41,70727.0
2020-04-20,4.45,4.48,4.49,4.4,55920.76
2020-04-21,4.45,4.4,4.45,4.37,43812.12
2020-04-22,4.36,4.43,4.45,4.35,50804.84
2020-04-23,4.43,4.42,4.43,4.37,42107.12
2020-04-24,4.39,4.34,4.42,4.33,38959.0
2020-04-27,4.3,4.26,4.34,4.22,61262.0
2020-04-28,4.26,4.17,4.27,4.1,62686.76
2020-04-29,4.14,4.17,4.18,4.13,22546.04
2020-04-30,4.18,4.25,4.25,4.17,32991.29
2020-05-06,4.22,4.26,4.26,4.18,29929.46
2020-05-07,4.25,4.18,4.26,4.15,33644.1
2020-05-08,4.18,4.27,4.3,4.18,42465.2
2020-05-11,4.28,4.3,4.35,4.24,47389.0
2020-05-12,4.3,4.25,4.32,4.17,35827.0
2020-05-13,4.26,4.28,4.3,4.19,30732.0
2020-05-14,4.25,4.24,4.29,4.22,19831.67
2020-05-15,4.26,4.28,4.3,4.24,36472.46
2020-05-18,4.27,4.29,4.35,4.23,51871.12
2020-05-19,4.3,4.29,4.31,4.26,24812.0
2020-05-20,4.26,4.28,4.34,4.26,30352.45
2020-05-21,4.31,4.33,4.41,4.22,86212.45
2020-05-22,4.29,4.2,4.29,4.14,56427.02
2020-05-25,4.18,4.18,4.25,4.17,30493.86
2020-05-26,4.19,4.24,4.25,4.18,27075.84
2020-05-27,4.23,4.3,4.33,4.2,48964.44
2020-05-28,4.3,4.26,4.31,4.23,38304.0
2020-05-29,4.26,4.43,4.44,4.24,94813.53
2020-06-01,4.46,4.61,4.67,4.43,135190.84
2020-06-02,4.67,4.68,4.85,4.64,142054.18
2020-06-03,4.79,4.61,4.79,4.58,91221.61
2020-06-04,4.63,4.65,4.76,4.61,76813.31
2020-06-05,4.68,4.59,4.69,4.52,73426.02
2020-06-08,4.59,4.43,4.59,4.42,53004.31
2020-06-09,4.43,4.88,4.88,4.42,179964.48
2020-06-10,5.09,5.37,5.37,5.09,110308.21
2020-06-11,5.53,5.38,5.69,5.18,527783.81
2020-06-12,4.84,5.11,5.29,4.84,340103.17
2020-06-15,5.01,5.35,5.59,5.01,342753.33
2020-06-16,5.29,5.21,5.32,5.08,207877.87
2020-06-17,5.21,5.16,5.32,5.09,159043.09
2020-06-18,5.17,5.12,5.21,5.07,121152.2
2020-06-19,5.1,5.64,5.64,5.1,244807.57
2020-06-22,5.69,5.48,5.87,5.44,360337.59
2020-06-23,5.4,5.37,5.63,5.29,210783.29
2020-06-24,5.44,5.1,5.44,5.09,173837.16
2020-06-29,5.08,4.93,5.11,4.88,117060.46
2020-06-30,4.99,5.04,5.14,4.98,122695.17
2020-07-01,5.01,4.99,5.1,4.91,108390.87
2020-07-02,4.98,5.06,5.12,4.94,109426.13
2020-07-03,5.08,5.35,5.46,4.99,202554.46
2020-07-06,5.32,5.48,5.57,5.25,210526.57
2020-07-07,5.78,6.03,6.03,5.77,64248.2
2020-07-08,6.63,6.63,6.63,6.39,469255.22
2020-07-09,7.08,7.3,7.3,6.84,206171.07
2020-07-10,7.55,7.6,8.03,6.81,664879.98
2020-07-13,7.14,7.3,7.37,6.84,495712.92
2020-07-14,7.08,6.62,7.14,6.58,384115.76
